"Title","Confidence in the local police by ethnicity and gender"
"Location","England and Wales"
"Time period"," 2014/15, 2015/16 and 2016/17 (3 years combined)"
"Data source","Crime Survey for England and Wales"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","20/07/2017"

"Gender","Ethnicity","%","Sample size"
"All","Asian","79","5,323"
"All","Black","71","2,775"
"All","Mixed","70","1,032"
"All","White","78","92,637"
"All","Other","78","817"
"Male ","Asian","78","2,635"
"Male ","Black","70","1,161"
"Male ","Mixed","71","434"
"Male ","White","77","42,237"
"Male ","Other","77","425"
"Female","Asian","80","2,688"
"Female","Black","72","1,614"
"Female","Mixed","68","598"
"Female","White","79","50,400"
"Female","Other","78","392"
