"Title","People feeling strongly they belong to Britain, by ethnicity"
"Location","England"
"Time period","August 2016 to March 2017"
"Data source","Community Life Survey"
"Data source link","https://www.gov.uk/government/collections/community-life-survey--2"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Ethnicity","Percentage","Number of respondents"
"All","85","7,343"
"Asian","84","993"
"Black","81","197"
"Mixed","79","143"
"White","85","5,821"
"Other","68","120"
