"Title","Economic inactivity by ethnicity and age"
"Location","England, Wales and Scotland"
"Time period","2016"
"Data source","Annual Population Survey"
"Data source link","https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/qmis/annualpopulationsurveyapsqmi"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","January 2004"

"","16-24","","25-49","","50-64",""
"Ethnicity","%","Number","%","Number","%","Number"
"All","38","2,671,000","14","2,937,000","27","3,226,000"
"Indian","59","94,000","14","108,000","27","59,000"
"Pakistani/Bangladeshi","56","150,000","32","243,000","46","67,000"
"Asian other","68","121,000","23","115,000","28","40,000"
"Black","50","140,000","18","131,000","22","66,000"
"Mixed","47","82,000","16","44,000","?","?"
"White British","35","1,866,000","12","1,893,000","27","2,831,000"
"White other","36","136,000","12","261,000","23","101,000"
"Other","61","79,000","28","140,000","32","41,000"
